,task name,W,W_stderr,L2,L2_stderr,KL,KL_stderr
23,children_playing street_music,0.6493888033862938,0.029691808217713705,0.6909908867909127,0.04003964419959544,0.7103813177726653,0.0337737440229763
24,dog_bark drilling,0.6796227971509604,0.026239091085381198,0.6359998377833198,0.03810879641752075,0.7408873007218508,0.03222667925115562
25,dog_bark engine_idling,0.5865297287566344,0.04970077145767625,0.6662277706249835,0.04077382279610099,0.6733082385091076,0.038190290128391036
26,dog_bark gun_shot,0.7433756413604001,0.040224347096260736,0.7195691188515871,0.033290618546257686,0.7282288532747277,0.03955716425081743
27,dog_bark jackhammer,0.6997933438818467,0.04871389423037206,0.6224238503185393,0.05268238139985321,0.7585293762875907,0.04199314337417635
28,dog_bark siren,0.8174652533768377,0.0180306342070652,0.8379678389520308,0.025979097960294156,0.8492109958999035,0.023427187165509046
29,dog_bark street_music,0.5801642748095667,0.021090669728681413,0.6565800821822061,0.027277379539861046,0.6573029272424254,0.02534671363932214
30,drilling engine_idling,0.7446179900128016,0.023234039773168152,0.7763737637253594,0.03314762223143339,0.755066164511278,0.02989993640789176
31,drilling gun_shot,0.8272314738164823,0.02665074011430749,0.8256756632416844,0.025987193567215395,0.8165708791369003,0.026466455907736806
32,drilling jackhammer,0.6224089474638423,0.05049656676669647,0.5999177070790388,0.043635462227061335,0.6085286946820269,0.04294880092226214
33,drilling siren,0.9190774131260694,0.019040830540591715,0.9303559248815626,0.018794893309423567,0.9525341741883194,0.014793786112392633
34,drilling street_music,0.7518137901964599,0.014400980735055984,0.7332461441056122,0.025704101483548177,0.8072644562725466,0.008455721245040298
35,engine_idling gun_shot,0.7665143259876183,0.041487711675397804,0.7327948231464383,0.05084869051553837,0.7909196609626745,0.041720059336004735
36,engine_idling jackhammer,0.7846076924892263,0.05139310675912062,0.7400106137485629,0.04961959740997341,0.730819371683093,0.058024228697103275
37,engine_idling siren,0.9649595306086773,0.01043059868164621,0.9575509971185827,0.01179138043817985,0.9676684726260805,0.006847154341165887
38,engine_idling street_music,0.6609689403819793,0.022970187116384336,0.735386861325637,0.028652086321902626,0.7251933982214965,0.02455462820691204
39,gun_shot jackhammer,0.645352726971058,0.08657678831003854,0.5849877993348127,0.09461317396147048,0.6688485689885599,0.05945133449941355
40,gun_shot siren,0.8025162127923755,0.06210379409128913,0.8783381462169082,0.033562398089032705,0.8969277332144978,0.03443541404268206
41,gun_shot street_music,0.7924177321279801,0.030145886602155794,0.7817344121322718,0.025149020772153547,0.812124096576189,0.029117676071371838
42,jackhammer siren,0.8629797941086037,0.0518879953337002,0.8942820254430769,0.043252119429969295,0.9147357969806427,0.04304209428522889
43,jackhammer street_music,0.7754348284016508,0.058109049346788205,0.7391729659195349,0.047741622266044594,0.8098041246453311,0.04411879558360736
44,siren street_music,0.8661246908682105,0.029192023403429863,0.8812720394491359,0.023696203978376924,0.8893685320210096,0.02355965713421909
